ax_mean,ax_std,ax_rms,ax_max,ax_mean_dup,ax_min,ax_kurtosis,ax_skew,ax_energy,ay_mean,ay_std,ay_rms,ay_max,ay_mean_dup,ay_min,ay_kurtosis,ay_skew,ay_energy,az_mean,az_std,az_rms,az_max,az_mean_dup,az_min,az_kurtosis,az_skew,az_energy,gx_mean,gx_std,gx_rms,gx_max,gx_mean_dup,gx_min,gx_kurtosis,gx_skew,gx_energy,gy_mean,gy_std,gy_rms,gy_max,gy_mean_dup,gy_min,gy_kurtosis,gy_skew,gy_energy,gz_mean,gz_std,gz_rms,gz_max,gz_mean_dup,gz_min,gz_kurtosis,gz_skew,gz_energy,acc_max,acc_mean,acc_min,gyro_max,gyro_mean,gyro_min,a_top1,a_top2,a_top3,a_top4,a_top5,a_max_freq,a_energy,a_entropy,g_top1,g_top2,g_top3,g_top4,g_top5,g_max_freq,g_energy,g_entropy
-3172.032258064516,2485.046571258778,4029.5465138805484,657.0,-3172.032258064516,-8939.0,-0.5972602816059989,-0.5973931260456895,1510063795.0,-1558.6129032258063,2275.842143704021,2758.3929461121543,1733.0,-1558.6129032258063,-6677.0,-0.4232003887152671,-0.8238936092637564,707612043.0,816.4408602150538,2157.9891399687153,2307.2695565216504,5575.0,816.4408602150538,-4983.0,-0.02555342900662838,-0.09287170596315071,495084831.0,9259.90322580645,22524.361094880587,24353.493599150635,32767.0,9259.90322580645,-32768.0,-0.9514488659721612,-0.5405224760442081,55157616495.0,13992.301075268817,10340.820877738997,17398.766215063977,32767.0,13992.301075268817,-2910.0,-0.7334275362494562,0.3931088949539638,28152687120.0,82.12903225806451,26988.992422927837,26989.1173842865,32767.0,82.12903225806451,-32768.0,-1.6793211511452995,0.012055518916082544,67742358518.0,10909.540274457031,4711.364841657655,1434.9107986212941,56754.686167751825,38221.210849676914,7455.241176514681,141191.59368565545,141150.96119485723,141029.105332074,140826.15087541688,140542.30561939473,0.0,689438256912.6459,3.955035499539828,723951.4878746283,723749.1750394312,723142.4423551899,722131.9070356826,720718.5969366276,0.0,18434025763258.895,3.9738951609228224
-3035.537634408602,1848.6044289152715,3554.12817221272,-804.0,-3035.537634408602,-9528.0,0.18645036969179696,-0.9026532103639129,1174759917.0,-2002.5376344086021,2443.73595338653,3159.4307061710933,1757.0,-2002.5376344086021,-8066.0,-0.00916948735596268,-0.7122103758658664,928326222.0,530.3440860215054,1497.6594175803707,1588.7884002110418,4386.0,530.3440860215054,-1590.0,-0.29688931498825566,0.9734169073658842,234755118.0,13651.301075268817,21418.787695372986,25399.261552003765,32767.0,13651.301075268817,-32768.0,-0.15439248018452378,-1.0088213559005654,59996391327.0,9853.537634408602,11954.377706769621,15491.91241483172,32767.0,9853.537634408602,-11226.0,-0.6324797615995008,0.5917685419909727,22319939575.0,-9359.268817204302,27302.044142675426,28861.696539900255,32767.0,-9359.268817204302,-32768.0,-1.3230017162768328,0.6732125572943367,77468770026.0,11890.221738891163,4335.690936809264,1265.3007547614916,56754.686167751825,40185.25675038022,12687.341762560036,32905.09421371968,32883.87611203041,32873.86542918796,32809.2500894677,32791.20520423686,34.0,42645688001.51388,4.059499393403485,150153.37211321126,150134.8657373707,149916.16025879575,149855.66830755156,149428.4638424524,35.0,855184145277.3976,4.02346893007142
-3091.989247311828,2698.4913885498927,4103.931441870087,1426.0,-3091.989247311828,-9660.0,-0.2202521595353466,-0.6417493036197506,1566329555.0,-1574.1720430107528,2568.716920091136,3012.6938504533014,1545.0,-1574.1720430107528,-8263.0,-0.16558631117707456,-0.9964478554487597,844098154.0,884.3440860215054,2402.918040094431,2560.48424519513,7218.0,884.3440860215054,-5884.0,0.8991901844401422,-0.02015977919453882,609715400.0,10038.569892473119,21828.654637365376,24026.299106675604,32767.0,10038.569892473119,-32768.0,-0.7426299878634741,-0.5887350210238452,53685463535.0,14513.032258064517,12402.713331695073,19090.715107397835,32767.0,14513.032258064517,-7550.0,-1.1760815885273146,0.14483371490950736,33894352508.0,794.2903225806451,25826.114559875223,25838.3259979501,32767.0,794.2903225806451,-32768.0,-1.5869648527107048,-0.03350283744591817,62088575405.0,12610.478539690712,4835.672343852975,1415.6998269407254,56754.686167751825,38275.861860887584,9777.301110224642,15326.032941702792,15323.730535022925,15297.619643366279,15290.378277905209,15238.87154418425,37.0,8228915124.767267,3.9551764752622125,81150.92577904285,81116.13474033849,81031.83774254334,80928.99925396324,80757.5727041335,36.0,237522833312.85535,3.9775374827083456
-2657.010752688172,2273.1889565415463,3496.7262077610553,66.0,-2657.010752688172,-9084.0,0.32452770968068867,-1.018651265158747,1137119758.0,-1780.505376344086,2709.7226720918343,3242.344268401909,1494.0,-1780.505376344086,-9739.0,0.9783174314742986,-1.2548498690042231,977690061.0,581.9677419354839,1605.022101154989,1707.2733811107883,3377.0,581.9677419354839,-3424.0,-0.5774813944142965,0.007195612715634047,271074763.0,12279.086021505376,18075.800758095444,21852.014245142083,32767.0,12279.086021505376,-32768.0,0.26739073996338725,-0.7802807457979384,44408478971.0,8811.90322580645,10571.014709094015,13762.121582112992,32767.0,8811.90322580645,-13025.0,0.21959046547290617,0.4616128985390906,17613827111.0,-4792.634408602151,26344.667787914696,26777.058565684685,32767.0,-4792.634408602151,-32768.0,-1.5645595000714554,0.33342910438710915,66682010485.0,11730.92605040199,4173.879751678979,829.3859174111892,53738.78147111265,35273.12604908833,11007.983511978931,14592.07518726131,14583.771906634243,14578.048012110105,14552.9840566091,14541.884703810743,37.0,8680932068.70884,4.0984685180279055,75160.76409253356,75138.6425255672,75070.9800596906,75005.46955184426,74868.61786267659,38.0,231151690248.09555,4.0904891762018005
-3524.451612903226,2756.2999841268,4474.253990800427,1326.0,-3524.451612903226,-9840.0,-0.4157576077765617,-0.33204242773029286,1861762236.0,-1934.3225806451612,2478.255287956794,3143.780068369855,2014.0,-1934.3225806451612,-7950.0,-0.5438923624160199,-0.6413369527872832,919151840.0,889.1290322580645,2387.512018663918,2547.697799046978,6503.0,889.1290322580645,-5449.0,0.38575473648396796,-0.15790355762436448,603641059.0,11721.053763440861,23314.321623426025,26094.840372878727,32767.0,11721.053763440861,-32768.0,-0.8351160213356659,-0.7168764279901355,63327484550.0,15357.602150537634,12629.650376263868,19883.762532299068,32767.0,15357.602150537634,-14951.0,-0.8482980693168942,-0.2041448129326899,36768853157.0,812.8709677419355,25400.937021589354,25413.94028451602,32767.0,812.8709677419355,-32768.0,-1.5462247763725534,0.04657213220789015,60065757553.0,11668.34808359778,5342.238784736741,1460.0558208506961,56754.686167751825,39696.949127638574,8403.484634364484,10931.126157000936,10924.984875682163,10919.459257635142,10900.993178937477,10890.066786108197,38.0,4884705026.044419,4.130805713076886,45456.22435184791,45449.50205129346,45376.97969128448,45357.31923868223,45211.416362114905,40.0,76444220316.49492,4.035453835143156
-3047.1505376344085,2346.1930085251724,3845.7441454493646,-167.0,-3047.1505376344085,-7249.0,-1.3027867216544777,-0.49749489643935546,1375446567.0,-2817.47311827957,3120.1279322799414,4203.9687303810315,1890.0,-2817.47311827957,-9501.0,-0.43545337838159925,-0.6892406829173243,1643621837.0,840.9677419354839,1738.344574350687,1931.0796467651296,4078.0,840.9677419354839,-2066.0,-1.1370969126966575,0.37424311305838226,346803380.0,5278.193548387097,22240.276176660933,22858.0229142502,32767.0,5278.193548387097,-32768.0,-1.0860870274339995,-0.2637339408895165,48591496674.0,13154.505376344086,12895.206943703497,18420.84074675215,32767.0,13154.505376344086,-17483.0,-0.5327832661838245,-0.26466205883057814,31557445765.0,346.03225806451616,29488.16790141014,29490.198108954377,32767.0,346.03225806451616,-32768.0,-1.831551835221878,-0.04549718498706275,80879475959.0,11811.865813663817,5078.074459319104,827.0707345807854,56754.686167751825,39763.19074971286,13041.315156072258,10794.161781761883,10792.482544302724,10779.330986471386,10774.317602266248,10747.996524732625,39.0,4791705644.928818,4.117028270609602,42532.12611980144,42506.21909622075,42485.500124807804,42407.62573083406,42366.61778996162,40.0,68857014405.59793,4.027226738893045
-3311.52688172043,2639.6881560338393,4234.874714730338,980.0,-3311.52688172043,-9525.0,-0.14360855227184954,-0.6077348633414538,1667877238.0,-1464.989247311828,2157.258133788898,2607.672554316902,1382.0,-1464.989247311828,-6201.0,-0.3670357355489302,-0.8306850590340388,632395922.0,893.1612903225806,2043.3544963224924,2230.0301989372347,5280.0,893.1612903225806,-4273.0,-0.30181597006784466,-0.06756878208491383,462492226.0,11534.0,22773.342417401425,25527.598415444707,32767.0,11534.0,-32768.0,-0.7832115696584965,-0.7410966674700654,60604220120.0,11519.440860215054,12019.065428450926,16647.986409934878,32767.0,11519.440860215054,-7620.0,-1.0495695075031184,0.3297103926224325,25775456990.0,-2443.6774193548385,26508.29771334596,26620.695088394055,32767.0,-2443.6774193548385,-32768.0,-1.6259622280036758,0.14605038868922549,65905510850.0,10284.130833473484,4805.691478646062,1522.6076316635222,56755.263518020955,38599.83390714001,1690.16123491222,11003.726218386308,11002.476577993197,10990.3681373555,10986.714407315365,10962.331339169425,45.0,5104182658.661608,4.081108161490718,40001.70750859409,39976.91535344172,39962.940923128874,39888.86227061238,39860.424286888236,42.0,62901825003.37193,4.045353717020557
-3338.5806451612902,2370.678843491929,4094.6598031125623,-354.0,-3338.5806451612902,-9215.0,-0.5586227900714316,-0.7900374450383142,1559260218.0,-2242.430107526882,3154.956030904868,3870.689905441409,2259.0,-2242.430107526882,-9372.0,-0.4057379262296812,-0.8509680542266337,1393348352.0,571.9032258064516,1517.8741576219982,1622.040461290814,3273.0,571.9032258064516,-2369.0,-1.18939357993501,0.176859628353745,244684419.0,6255.333333333333,22295.83268228428,23156.71285194699,32767.0,6255.333333333333,-32768.0,-1.036915455068246,-0.4374391765725822,49869701560.0,12548.827956989247,14123.642475919783,18893.12996519424,32767.0,12548.827956989247,-19908.0,-0.7698336327845174,-0.27598317507115155,33196383469.0,529.1075268817204,28446.15317510535,28451.07353399093,32767.0,529.1075268817204,-32768.0,-1.7672197502616522,-0.03336528374448459,75280113427.0,11607.735911882213,4902.007418315796,1074.0465539258528,56754.686167751825,39772.42993319827,9663.3413475878,6183.205793702883,6180.091693115876,6175.390441838,6165.985814125585,6156.733958479231,49.0,1672425086.8911586,4.181753445599025,30360.029692714324,30343.773592829653,30325.40307600838,30277.315650623616,30239.34199252094,44.0,36466452592.24587,4.057850000558765
-3502.7634408602153,2463.1581764280363,4282.113955131412,429.0,-3502.7634408602153,-8171.0,-0.9844841629541357,-0.2971143786285949,1705294493.0,-1068.010752688172,2176.4318114730604,2424.3560790134484,3007.0,-1068.010752688172,-6106.0,-0.4864275184848541,-0.5688184081722443,546607723.0,792.4731182795699,2200.591668196894,2338.935085318388,4767.0,792.4731182795699,-6300.0,1.2511471339000781,-0.8666691949207224,508767412.0,11467.516129032258,23412.193032559466,26069.804540184818,32767.0,11467.516129032258,-32768.0,-0.9112043630811599,-0.6544832599689203,63206027915.0,11808.21505376344,13294.888453312044,17781.676010487186,32767.0,11808.21505376344,-21144.0,-0.7258433463067537,0.08279035755172175,29405484162.0,-1126.2903225806451,25735.623994340578,25760.25761262525,32767.0,-1126.2903225806451,-32768.0,-1.5785009913722328,0.07496167625055494,61713951121.0,10419.728115454836,4887.031415712007,1900.6304217285378,56754.686167751825,38664.59984263318,3494.9154496210635,5668.101832401517,5664.773873740089,5661.9261752014945,5651.940754024939,5646.268661060344,46.0,1310595198.7725384,4.139009205135761,37148.439890870155,37146.68080226305,37106.555761950825,37101.08113106609,37021.34438497985,44.0,65518226946.96444,4.213010982654898
-3290.559139784946,2449.814609893282,4102.36164608495,270.0,-3290.559139784946,-9420.0,0.23021069340532074,-0.9366709524720355,1565131510.0,-2668.7956989247314,3566.7767128811684,4454.701628858047,1416.0,-2668.7956989247314,-11485.0,0.30377411982009006,-1.2521450932090652,1845526094.0,417.18279569892474,1723.6791292985133,1773.4461440389025,3589.0,417.18279569892474,-3993.0,0.32277070625177284,-0.4026205864541872,292495344.0,10315.731182795698,21743.920103453558,24066.831351490277,32767.0,10315.731182795698,-32768.0,-0.6341915110213803,-0.6967532351802497,53866750531.0,11172.118279569893,14250.636314674046,18107.922636951113,32767.0,11172.118279569893,-27276.0,0.02595494452687186,-0.4656576012456217,30494408187.0,-725.989247311828,27731.315934751503,27740.817288973572,32767.0,-725.989247311828,-32768.0,-1.7028573393405455,0.02599244311647001,71568423779.0,13122.503152981142,5105.405615299937,1457.3184277981254,56754.686167751825,39494.116233698325,16258.229485402155,5493.819252801952,5493.796731567829,5485.801089694967,5485.64330303611,5469.851573240413,49.0,1215916228.3186734,4.049196579124119,25938.68892089183,25920.145109709498,25918.46430973336,25863.62137336403,25858.82111355008,40.0,32151012257.09907,4.21229129977234
